branch_id_1	branch_id_2	is_fg	omegaCany2spe	ECNany2spe	ECSany2spe	method
0	3	N	32.8456	0.3924	2.2715	codon_model
0	5	N	0.2028	0.4229	2.6421	codon_model
0	8	N	0.0122	0.2407	2.5212	codon_model
0	9	N	0.0698	0.0529	0.4138	codon_model
0	10	N	0.2992	0.117	0.5306	codon_model
0	11	N	1.6215	0.2956	1.9385	codon_model
0	12	N	0.1924	0.0718	0.6172	codon_model
0	13	N	0.0002	0.032	0.5918	codon_model
0	14	N	0.0	0.0121	0.229	codon_model
0	15	N	0.0099	0.0628	0.8672	codon_model
0	16	N	0.0002	0.0491	0.9192	codon_model
0	17	N	0.3517	0.1875	2.0174	codon_model
0	18	N	0.6286	0.1044	1.5975	codon_model
0	19	N	0.0009	0.0162	0.5055	codon_model
0	20	N	0.0001	0.0184	0.5193	codon_model
0	21	N	0.0861	0.0065	0.2939	codon_model
0	22	N	0.0	0.0092	0.1538	codon_model
0	23	N	0.0001	0.012	0.2586	codon_model
0	24	N	0.0	0.0205	0.3397	codon_model
0	25	N	0.0005	0.2071	1.6979	codon_model
0	26	N	0.0392	0.0922	0.8462	codon_model
0	27	N	0.0025	0.0317	0.3983	codon_model
0	28	N	0.0	0.0161	0.1518	codon_model
0	29	N	0.0	0.0015	0.0802	codon_model
0	30	N	12.6728	0.0487	0.5668	codon_model
0	31	N	0.6284	0.0137	0.1063	codon_model
0	32	N	0.0007	0.0455	0.4939	codon_model
0	33	N	0.7109	0.1493	0.911	codon_model
0	34	N	0.0574	0.02	0.3332	codon_model
0	35	N	0.1337	0.1118	0.6367	codon_model
0	36	N	0.0035	0.0888	0.7701	codon_model
0	37	N	3.1552	0.0744	0.6923	codon_model
0	38	N	577.3997	0.0567	0.8855	codon_model
0	39	N	1.0204	0.2156	1.7017	codon_model
0	40	N	12.4009	0.1162	0.5463	codon_model
0	41	N	0.0	0.0284	0.0973	codon_model
0	42	N	1.0224	0.0083	0.2746	codon_model
0	43	N	613.5511	0.0001	0.0077	codon_model
0	44	N	0.0014	0.0071	0.3498	codon_model
0	45	N	0.0009	0.0086	0.1924	codon_model
0	46	N	35.0214	0.0476	1.2139	codon_model
0	47	N	0.0323	0.0445	1.2373	codon_model
0	48	N	2.5294	0.0824	1.8324	codon_model
0	49	N	2.5613	0.0738	2.019	codon_model
0	50	N	2.419	0.1373	2.2228	codon_model
0	51	N	0.3417	0.1692	2.1691	codon_model
0	52	N	7.4432	0.0491	1.3966	codon_model
0	53	N	0.0023	0.138	1.1351	codon_model
0	54	N	0.2487	0.3763	2.6728	codon_model
0	55	N	13.41	0.0319	0.2206	codon_model
0	56	N	0.0002	0.0275	0.244	codon_model
0	57	N	0.0425	0.0123	0.1733	codon_model
0	58	N	0.0041	0.1283	0.5842	codon_model
0	59	N	0.9101	0.1735	2.6312	codon_model
0	60	N	0.4771	0.2899	1.8185	codon_model
0	61	N	0.0004	0.0683	1.3887	codon_model
0	62	N	21.5743	0.1432	0.7105	codon_model
0	63	N	0.2027	0.1375	0.644	codon_model
0	64	N	12.8571	0.1172	1.6878	codon_model
0	65	N	0.0	0.0193	0.2346	codon_model
0	66	N	0.0009	0.091	0.4315	codon_model
0	67	N	0.1779	0.1315	0.6415	codon_model
0	68	N	0.26	0.0408	0.306	codon_model
0	69	N	0.0	0.0699	0.5591	codon_model
0	70	N	0.0071	0.0507	0.4197	codon_model
0	71	N	0.0003	0.1429	0.908	codon_model
0	72	N	0.0265	0.1214	1.6511	codon_model
0	73	N	0.7528	0.2584	2.1356	codon_model
0	74	N	0.0	0.0084	0.0994	codon_model
0	75	N	0.0	0.016	0.226	codon_model
0	76	N	0.014	0.0195	0.6767	codon_model
0	77	N	5.9836	0.0311	0.8592	codon_model
0	78	N	0.5228	0.1226	1.4719	codon_model
0	79	N	0.0332	0.0417	0.463	codon_model
0	80	N	0.0532	0.078	0.7677	codon_model
0	81	N	0.3582	0.0096	0.4195	codon_model
0	82	N	0.0012	0.0477	0.6634	codon_model
0	83	N	0.0098	0.1231	1.5689	codon_model
0	84	N	0.2727	0.0989	1.5056	codon_model
0	85	N	0.0003	0.1119	1.4072	codon_model
0	86	N	0.3475	0.1497	1.6134	codon_model
0	87	N	0.5078	0.198	1.7472	codon_model
0	88	N	3.7343	0.1936	1.8551	codon_model
0	89	N	0.0074	0.166	2.1787	codon_model
0	90	N	1.1014	0.2516	1.0771	codon_model
0	91	N	0.4434	0.0412	0.5631	codon_model
0	92	N	0.0007	0.0131	0.4973	codon_model
0	93	N	4.0607	0.224	2.4011	codon_model
0	94	N	2.1439	0.1611	1.5283	codon_model
0	95	N	0.0119	0.2187	0.8077	codon_model
0	96	N	0.0	0.0205	0.324	codon_model
0	97	N	0.0142	0.0242	0.5474	codon_model
0	98	N	0.0011	0.0727	0.5108	codon_model
0	99	N	0.0044	0.1746	1.2587	codon_model
0	100	N	0.4081	0.0933	1.1409	codon_model
0	101	N	0.0001	0.027	0.3534	codon_model
0	102	N	0.0015	0.0757	0.6699	codon_model
0	103	N	0.0093	0.2877	1.3662	codon_model
0	104	N	90.2514	0.0748	0.6488	codon_model
0	105	N	0.1429	0.2137	1.003	codon_model
0	106	N	1.2536	0.291	1.8729	codon_model
0	107	N	2.0098	0.2234	1.4197	codon_model
0	108	N	1.1567	0.3152	2.2565	codon_model
0	111	N	0.0858	0.1425	1.6281	codon_model
0	112	N	0.2608	0.4679	2.7496	codon_model
0	113	N	0.0001	0.0961	1.9037	codon_model
0	114	N	0.0157	0.0484	1.3372	codon_model
0	115	N	0.0234	0.1378	1.3235	codon_model
0	116	N	1.0372	0.1604	1.6913	codon_model
0	118	N	0.0	0.0165	0.4007	codon_model
0	119	N	0.004	0.0204	0.6432	codon_model
0	120	N	0.0004	0.0444	1.1499	codon_model
0	121	N	0.0594	0.0787	1.9216	codon_model
0	122	N	1.4252	0.1519	0.7126	codon_model
0	123	N	0.6161	0.2386	1.0339	codon_model
0	124	N	2.1418	0.0925	0.674	codon_model
0	125	N	1.5181	0.1164	0.6704	codon_model
0	126	N	9.5015	0.0887	1.0633	codon_model
0	127	N	0.1024	0.1226	2.3739	codon_model
0	128	N	0.778	0.3369	2.3995	codon_model
0	129	N	0.0073	0.044	0.699	codon_model
0	130	N	0.1571	0.0703	1.3698	codon_model
0	131	N	2.028	0.2627	1.5718	codon_model
0	132	N	1.9787	0.2847	2.167	codon_model
0	133	N	2.8022	0.201	1.8746	codon_model
0	134	N	5.2977	0.1937	1.8595	codon_model
0	135	N	2.7497	0.2889	2.2069	codon_model
0	136	N	0.8256	0.2449	2.1831	codon_model
0	137	N	0.445	0.1586	2.0641	codon_model
1	3	N	0.0001	0.535	3.1813	codon_model
1	5	N	9.3587	1.6047	5.0281	codon_model
1	8	N	3.33	1.1252	5.2051	codon_model
1	9	N	0.0001	0.339	0.7758	codon_model
1	10	N	993.8673	0.3662	1.0123	codon_model
1	11	N	1.5857	0.8748	3.9249	codon_model
1	12	N	1.3884	0.4194	1.3027	codon_model
1	13	N	0.1193	0.1995	1.1733	codon_model
1	14	N	0.0	0.0658	0.4905	codon_model
1	15	N	0.0021	0.2176	1.7675	codon_model
1	16	N	0.0634	0.2632	1.8066	codon_model
1	17	N	0.6057	0.7961	4.1075	codon_model
1	18	N	4.1947	0.3485	3.2685	codon_model
1	19	N	0.0002	0.0969	0.9366	codon_model
1	20	N	0.0011	0.1106	0.9646	codon_model
1	21	N	0.002	0.0408	0.4761	codon_model
1	22	N	0.0103	0.049	0.303	codon_model
1	23	N	0.3866	0.0713	0.5383	codon_model
1	24	N	1.359	0.1208	0.6947	codon_model
1	25	N	0.3889	1.0019	3.2896	codon_model
1	26	N	306.3838	0.5781	1.5806	codon_model
1	27	N	0.0705	0.0705	0.7922	codon_model
1	28	N	0.0	0.0844	0.2994	codon_model
1	29	N	0.0	0.0096	0.1576	codon_model
1	30	N	0.0003	0.2862	1.0669	codon_model
1	31	N	4.0867	0.0877	0.2196	codon_model
1	32	N	0.0	0.2695	1.0188	codon_model
1	33	N	11.2552	0.5911	1.7919	codon_model
1	34	N	32.2574	0.1227	0.6054	codon_model
1	35	N	21.881	0.6976	1.1906	codon_model
1	36	N	2.5414	0.1953	1.5085	codon_model
1	37	N	2.7296	0.1707	1.3615	codon_model
1	38	N	0.0392	0.308	1.722	codon_model
1	39	N	0.0	0.489	3.5308	codon_model
1	40	Y	1.1936	0.6573	1.1719	codon_model
1	41	N	0.3201	0.16	0.2106	codon_model
1	42	N	0.0	0.0484	0.5727	codon_model
1	43	N	0.0	0.0005	0.0182	codon_model
1	44	N	3.057	0.0409	0.7505	codon_model
1	45	N	0.2283	0.0503	0.3975	codon_model
1	46	N	0.0045	0.267	2.569	codon_model
1	47	N	0.0024	0.2497	2.619	codon_model
1	48	N	0.0089	0.4354	3.7809	codon_model
1	49	N	1.4327	0.3862	4.1867	codon_model
1	50	N	0.4824	0.7034	4.5802	codon_model
1	51	N	0.2109	0.7445	4.4869	codon_model
1	52	N	1.9846	0.2745	2.8939	codon_model
1	53	N	0.0004	0.6416	2.2714	codon_model
1	54	N	2.0781	1.3345	5.5379	codon_model
1	55	N	11.4658	0.204	0.4316	codon_model
1	56	N	25.5878	0.1764	0.4621	codon_model
1	57	N	0.0649	0.0786	0.3006	codon_model
1	58	N	2.6722	0.4365	1.1026	codon_model
1	59	N	0.2481	0.8292	5.4403	codon_model
1	60	N	1.7067	0.8549	3.6834	codon_model
1	61	N	0.0851	0.4087	2.7251	codon_model
1	62	N	0.8908	0.5308	1.3513	codon_model
1	63	N	6.2521	0.4862	1.2325	codon_model
1	64	N	4.2008	0.6038	3.4551	codon_model
1	65	N	1.2606	0.1234	0.4138	codon_model
1	66	N	0.7756	0.2014	0.8178	codon_model
1	67	N	8.4072	0.4484	1.2275	codon_model
1	68	N	153.5882	0.1642	0.5944	codon_model
1	69	N	0.4547	0.3545	1.0535	codon_model
1	70	N	24.7719	0.2044	0.8153	codon_model
1	71	N	0.0288	0.4846	1.7808	codon_model
1	72	N	2.9233	0.6286	3.378	codon_model
1	73	N	2.2521	0.7909	4.4381	codon_model
1	74	N	0.0	0.0548	0.1911	codon_model
1	75	N	0.0	0.0859	0.485	codon_model
1	76	N	0.0117	0.1046	1.3106	codon_model
1	77	N	0.0801	0.164	1.6879	codon_model
1	78	N	1.7159	0.5758	2.909	codon_model
1	79	N	0.0	0.1324	0.9228	codon_model
1	80	N	0.4163	0.1939	1.5149	codon_model
1	81	N	0.1396	0.0604	0.8421	codon_model
1	82	N	0.0485	0.1227	1.383	codon_model
1	83	N	0.4087	0.4622	3.0184	codon_model
1	84	N	0.6168	0.2908	2.8439	codon_model
1	85	N	0.0467	0.5134	2.7816	codon_model
1	86	N	2.9003	0.615	3.0737	codon_model
1	87	N	1.1574	0.3749	3.6263	codon_model
1	88	N	5.0022	0.3462	3.8528	codon_model
1	89	N	3.6156	0.9701	4.5107	codon_model
1	90	N	3.2244	1.1835	2.1129	codon_model
1	91	N	718.759	0.2438	1.1605	codon_model
1	92	N	0.5638	0.0787	0.9185	codon_model
1	93	N	0.8071	1.2113	4.9619	codon_model
1	94	N	0.6728	0.426	3.182	codon_model
1	95	N	0.3124	0.9816	1.5748	codon_model
1	96	N	0.0	0.1222	0.6782	codon_model
1	97	N	0.0034	0.1427	1.0605	codon_model
1	98	N	0.0046	0.3487	0.9824	codon_model
1	99	N	3.896	0.8641	2.515	codon_model
1	100	N	1.8993	0.4503	2.2351	codon_model
1	101	N	989.9486	0.1568	0.7292	codon_model
1	102	N	10.381	0.4304	1.4451	codon_model
1	103	N	5.5022	0.9862	2.8706	codon_model
1	104	N	0.6356	0.4249	1.3991	codon_model
1	105	N	2.2889	0.5022	2.0624	codon_model
1	106	N	9.8849	0.8439	3.7735	codon_model
1	107	N	2.2128	0.4429	2.692	codon_model
1	108	N	2.2539	1.0444	4.6324	codon_model
1	111	N	2.1578	0.7942	3.2613	codon_model
1	112	N	0.8224	1.7679	5.6787	codon_model
1	113	N	0.0271	0.5623	3.9288	codon_model
1	114	N	0.3822	0.2703	2.769	codon_model
1	115	N	3.8228	0.2826	2.75	codon_model
1	116	N	2.3703	0.4183	3.5844	codon_model
1	118	N	0.0	0.0985	0.8332	codon_model
1	119	N	0.0	0.1222	1.2197	codon_model
1	120	N	0.0246	0.2676	2.228	codon_model
1	121	N	0.5012	0.466	3.7838	codon_model
1	122	N	1.6271	0.5487	1.3821	codon_model
1	123	N	10.4664	1.0991	2.0267	codon_model
1	124	N	2.933	0.5494	1.2791	codon_model
1	125	N	2.0753	0.3156	1.3139	codon_model
1	126	N	5.3305	0.4224	2.0813	codon_model
1	127	N	1.3221	0.7267	4.752	codon_model
1	128	N	2.6482	1.1994	4.9643	codon_model
1	129	N	0.1359	0.2572	1.3696	codon_model
1	130	N	1.9485	0.3724	2.7261	codon_model
1	131	N	4.6423	0.675	3.1735	codon_model
1	132	N	1.4234	0.8549	4.4777	codon_model
1	133	N	3.7921	0.4199	3.8925	codon_model
1	134	N	5.7367	0.3475	3.862	codon_model
1	135	N	5.3264	0.5214	4.4999	codon_model
1	136	N	4.0682	0.4547	4.4744	codon_model
1	137	N	4.9874	0.3584	4.3031	codon_model
2	5	N	2.4718	0.6379	4.8274	codon_model
2	8	N	0.0416	0.2869	4.2654	codon_model
2	9	N	0.0033	0.0683	0.6427	codon_model
2	10	N	1.2465	0.0905	0.8014	codon_model
2	11	N	2.0583	0.3975	3.6186	codon_model
2	12	N	0.203	0.097	1.0555	codon_model
2	13	N	0.0022	0.0441	1.0221	codon_model
2	14	N	0.0	0.0134	0.3704	codon_model
2	15	N	0.067	0.0411	1.5934	codon_model
2	16	N	0.001	0.0531	1.5346	codon_model
2	17	N	0.491	0.2209	3.413	codon_model
2	18	N	1.3892	0.1289	2.6886	codon_model
2	19	N	0.0004	0.0206	0.8422	codon_model
2	20	N	0.005	0.0235	0.8655	codon_model
2	21	N	0.0013	0.0087	0.4556	codon_model
2	22	N	0.0002	0.0088	0.247	codon_model
2	23	N	0.0019	0.0138	0.4212	codon_model
2	24	N	0.0003	0.0234	0.547	codon_model
2	25	N	0.4782	0.206	2.8472	codon_model
2	26	N	4.6405	0.1252	1.3897	codon_model
2	27	N	0.0017	0.0333	0.6916	codon_model
2	28	N	0.001	0.0151	0.244	codon_model
2	29	N	0.0	0.0017	0.1201	codon_model
2	30	N	1.6507	0.0562	0.8705	codon_model
2	31	N	0.0765	0.0179	0.1701	codon_model
2	32	N	0.0003	0.0545	0.8199	codon_model
2	33	N	0.6192	0.1717	1.5513	codon_model
2	34	N	0.1342	0.0253	0.5712	codon_model
2	35	N	0.2697	0.1372	1.0631	codon_model
2	36	N	0.0021	0.0925	1.3159	codon_model
2	37	N	1.5617	0.0773	1.1819	codon_model
2	38	N	0.1823	0.0613	1.471	codon_model
2	39	N	0.0908	0.2221	2.772	codon_model
2	40	N	4.0976	0.1436	0.9355	codon_model
2	41	N	3.5212	0.0347	0.1677	codon_model
2	42	N	0.0571	0.0106	0.4606	codon_model
2	43	N	1.29	0.0001	0.0142	codon_model
2	44	N	0.0002	0.0084	0.5983	codon_model
2	45	N	0.0024	0.011	0.3202	codon_model
2	46	N	27.27	0.0784	2.0768	codon_model
2	47	N	0.0025	0.0747	2.1167	codon_model
2	48	N	4.7077	0.1359	3.1013	codon_model
2	49	N	2.1849	0.1258	3.4275	codon_model
2	50	N	3.7793	0.1738	3.7434	codon_model
2	51	N	0.2112	0.2085	3.6508	codon_model
2	52	N	12.9015	0.071	2.3446	codon_model
2	53	N	0.0003	0.1541	1.873	codon_model
2	54	N	0.1613	0.3897	4.4889	codon_model
2	55	N	29.8632	0.0414	0.3483	codon_model
2	56	N	0.1978	0.0354	0.3768	codon_model
2	57	N	0.0039	0.0159	0.25	codon_model
2	58	N	19.3104	0.1087	0.8704	codon_model
2	59	N	0.072	0.2032	4.4727	codon_model
2	60	N	3.6046	0.3178	3.0394	codon_model
2	61	N	6.2557	0.0959	2.2603	codon_model
2	62	N	8.4171	0.1274	1.0755	codon_model
2	63	N	7.323	0.1142	0.9792	codon_model
2	64	N	0.0144	0.1404	2.8188	codon_model
2	65	N	0.007	0.0249	0.346	codon_model
2	66	N	0.004	0.0579	0.6403	codon_model
2	67	N	5.5158	0.1067	0.9752	codon_model
2	68	N	0.076	0.0479	0.4798	codon_model
2	69	N	0.0195	0.0857	0.8757	codon_model
2	70	N	0.8236	0.0603	0.6925	codon_model
2	71	N	0.0001	0.155	1.4937	codon_model
2	72	N	0.0042	0.1456	2.757	codon_model
2	73	N	0.2166	0.2822	3.506	codon_model
2	74	N	0.0	0.01	0.148	codon_model
2	75	N	0.0	0.017	0.3656	codon_model
2	76	N	1.4552	0.0225	1.128	codon_model
2	77	N	0.1983	0.0342	1.4363	codon_model
2	78	N	0.0687	0.1638	2.4563	codon_model
2	79	N	0.1336	0.0462	0.8009	codon_model
2	80	N	0.3247	0.082	1.3098	codon_model
2	81	N	0.2066	0.0135	0.7424	codon_model
2	82	N	0.0927	0.0207	1.2733	codon_model
2	83	N	1.1511	0.092	2.6574	codon_model
2	84	N	4.2766	0.053	2.5126	codon_model
2	85	N	0.1211	0.1525	2.3562	codon_model
2	86	N	0.3491	0.122	2.6779	codon_model
2	87	N	2.2825	0.1998	2.8504	codon_model
2	88	N	1.7607	0.1942	3.0362	codon_model
2	89	N	0.0444	0.2137	3.642	codon_model
2	90	N	2.3266	0.2894	1.761	codon_model
2	91	N	14.5354	0.0493	0.9374	codon_model
2	92	N	0.0081	0.0158	0.7455	codon_model
2	93	N	0.0293	0.2765	4.0425	codon_model
2	94	N	0.9195	0.1923	2.5618	codon_model
2	95	N	0.4688	0.2548	1.3112	codon_model
2	96	N	0.0	0.0247	0.5515	codon_model
2	97	N	0.0005	0.0299	0.9578	codon_model
2	98	N	0.0063	0.0888	0.8386	codon_model
2	99	N	1.1469	0.1974	2.083	codon_model
2	100	N	1.0569	0.1085	1.8437	codon_model
2	101	N	0.0865	0.0391	0.5946	codon_model
2	102	N	0.5435	0.1487	1.1313	codon_model
2	103	N	0.2011	0.3695	2.5048	codon_model
2	104	N	16.4777	0.1475	1.0948	codon_model
2	105	N	0.4294	0.2764	1.8748	codon_model
2	106	N	5.6241	0.3919	3.5099	codon_model
2	107	N	3.2663	0.3088	2.7479	codon_model
2	108	N	0.0218	0.4206	4.137	codon_model
2	111	N	0.0663	0.1735	2.7063	codon_model
2	112	N	1.0638	0.4619	4.5932	codon_model
2	113	N	0.0084	0.1285	3.1871	codon_model
2	114	N	0.5024	0.0701	2.2447	codon_model
2	115	N	2.9987	0.1638	2.217	codon_model
2	116	N	1.4193	0.1769	2.9658	codon_model
2	118	N	0.0	0.0199	0.6796	codon_model
2	119	N	0.0	0.0245	0.9946	codon_model
2	120	N	0.0009	0.068	1.8543	codon_model
2	121	N	3.9786	0.0952	3.189	codon_model
2	122	N	16.5531	0.1748	1.1488	codon_model
2	123	N	0.3343	0.274	1.6871	codon_model
2	124	N	10.2688	0.1077	1.0536	codon_model
2	125	N	0.3698	0.1234	1.0929	codon_model
2	126	N	2.8339	0.103	1.7108	codon_model
2	127	N	0.078	0.1468	3.9497	codon_model
2	128	N	0.7449	0.379	3.9753	codon_model
2	129	N	0.0008	0.0542	1.2071	codon_model
2	130	N	0.0916	0.0849	2.2704	codon_model
2	131	N	0.3439	0.2835	2.629	codon_model
2	132	N	0.2945	0.313	3.5781	codon_model
2	133	N	1.2094	0.2098	3.0566	codon_model
2	134	N	1.314	0.1944	3.0438	codon_model
2	135	N	1.3797	0.2172	3.6557	codon_model
2	136	N	2.1793	0.2187	3.6545	codon_model
2	137	N	1.5134	0.1744	3.5643	codon_model
3	5	N	3.0012	0.7164	5.2727	codon_model
3	8	N	0.166	0.346	4.7733	codon_model
3	9	N	0.0051	0.0874	0.7105	codon_model
3	10	N	0.0	0.1074	0.8927	codon_model
3	11	N	1.519	0.4361	3.9914	codon_model
3	12	N	0.0113	0.1203	1.1873	codon_model
3	13	N	2.0376	0.0553	1.1292	codon_model
3	14	N	0.0	0.017	0.4194	codon_model
3	15	N	13.1128	0.0516	1.7577	codon_model
3	16	N	0.0002	0.0675	1.6997	codon_model
3	17	N	1.2164	0.2615	3.8064	codon_model
3	18	N	0.8011	0.1451	3.004	codon_model
3	19	N	0.0047	0.026	0.9212	codon_model
3	20	N	0.0054	0.0297	0.9472	codon_model
3	21	N	0.0421	0.011	0.4887	codon_model
3	22	N	0.0	0.0114	0.2747	codon_model
3	23	N	0.0014	0.0177	0.4731	codon_model
3	24	N	0.038	0.0301	0.6129	codon_model
3	25	N	0.3657	0.2592	3.1405	codon_model
3	26	N	0.0087	0.1575	1.5258	codon_model
3	27	N	0.0384	0.0359	0.7646	codon_model
3	28	N	0.0634	0.0197	0.2714	codon_model
3	29	N	0.0	0.0023	0.1345	codon_model
3	30	N	0.2751	0.0721	0.9632	codon_model
3	31	N	0.002	0.0228	0.1914	codon_model
3	32	N	0.0007	0.0695	0.9187	codon_model
3	33	N	3.4649	0.2013	1.715	codon_model
3	34	N	0.0075	0.0322	0.6205	codon_model
3	35	N	0.0149	0.1763	1.1656	codon_model
3	36	N	0.0001	0.0997	1.453	codon_model
3	37	N	1.5063	0.0838	1.3062	codon_model
3	38	N	0.0171	0.0782	1.6266	codon_model
3	39	N	2.5298	0.2405	3.117	codon_model
3	40	N	0.9579	0.1797	1.0537	codon_model
3	41	N	19962.8794	0.0435	0.1891	codon_model
3	42	N	9.8527	0.0133	0.517	codon_model
3	43	N	0.0074	0.0001	0.0162	codon_model
3	44	N	0.0063	0.0105	0.6739	codon_model
3	45	N	0.286	0.0138	0.359	codon_model
3	46	N	0.2529	0.093	2.3316	codon_model
3	47	N	3.727	0.0884	2.3765	codon_model
3	48	N	0.3757	0.1591	3.4655	codon_model
3	49	N	0.021	0.1463	3.8332	codon_model
3	50	N	6.4735	0.2118	4.1896	codon_model
3	51	N	0.526	0.2469	4.0912	codon_model
3	52	N	6.3691	0.0859	2.6294	codon_model
3	53	N	0.1453	0.1877	2.0843	codon_model
3	54	N	3.6541	0.4542	5.0307	codon_model
3	55	N	16.6087	0.0529	0.3878	codon_model
3	56	N	0.0234	0.0454	0.4177	codon_model
3	57	N	0.0119	0.0203	0.2739	codon_model
3	58	N	0.0003	0.1295	0.9685	codon_model
3	59	N	0.0612	0.2473	5.0032	codon_model
3	60	N	0.0157	0.3557	3.3886	codon_model
3	61	N	0.0003	0.1185	2.5096	codon_model
3	62	N	0.0385	0.1535	1.1965	codon_model
3	63	N	0.4976	0.1378	1.0905	codon_model
