phase	sample	warmup	dataset	branch_id_1	branch_id_2	omegaCany2spe	convergent	divergent	blank	analyze_elapsed_sec	analyze_max_rss_kb	site_elapsed_sec	site_max_rss_kb
before	0	True	PEPC	9	108	0.049466	0	2	954	3.91	411008	5.85	500160
before	0	True	PGK	23	51	1.97505	5	7	390	2.15	198256	4.33	268464
after	0	True	PEPC	9	108	0.049466	0	2	954	3.31	433712	5.2	532400
after	0	True	PGK	23	51	1.97505	5	7	390	2.08	201648	4.61	275888
after	1	False	PEPC	9	108	0.049466	0	2	954	2.87	455920	6.14	522112
after	1	False	PGK	23	51	1.97505	5	7	390	2.0	193824	3.68	297856
before	1	False	PEPC	9	108	0.049466	0	2	954	4.42	419728	6.47	406944
before	1	False	PGK	23	51	1.97505	5	7	390	2.51	196784	4.41	273712
before	2	False	PEPC	9	108	0.049466	0	2	954	4.03	383488	6.18	498432
before	2	False	PGK	23	51	1.97505	5	7	390	1.71	197616	4.26	272496
after	2	False	PEPC	9	108	0.049466	0	2	954	4.92	356224	8.76	422016
after	2	False	PGK	23	51	1.97505	5	7	390	1.92	196688	4.01	286080
after	3	False	PEPC	9	108	0.049466	0	2	954	4.19	342624	6.34	506224
after	3	False	PGK	23	51	1.97505	5	7	390	2.6	192992	4.92	257968
before	3	False	PEPC	9	108	0.049466	0	2	954	3.52	433632	5.31	485296
before	3	False	PGK	23	51	1.97505	5	7	390	2.67	192144	4.47	275120
