branch_id_1	branch_id_2	omega_no	ocn_no	omega_tip	ocn_tip	comparison	omega_zero	ocn_zero
0	3	32.5892	0.5268	32.7461	0.5268	no_vs_tip_invariant_sparse_fixed		
0	5	0.2022	0.1797	0.2039	0.1797	no_vs_tip_invariant_sparse_fixed		
0	8	0.0122	0.0057	0.0122	0.0057	no_vs_tip_invariant_sparse_fixed		
0	9	0.0706	0.0009	0.07	0.0009	no_vs_tip_invariant_sparse_fixed		
0	10	0.2993	0.0003	0.3002	0.0003	no_vs_tip_invariant_sparse_fixed		
0	11	1.5976	2.0493	1.6193	2.0493	no_vs_tip_invariant_sparse_fixed		
0	12	0.1925	0.0012	0.1912	0.0012	no_vs_tip_invariant_sparse_fixed		
0	13	0.0002	0.0	0.0002	0.0	no_vs_tip_invariant_sparse_fixed		
0	14	0.0	0.0	0.0	0.0	no_vs_tip_invariant_sparse_fixed		
0	15	0.0098	0.0001	0.0099	0.0001	no_vs_tip_invariant_sparse_fixed		
0	16	0.0002	0.0	0.0002	0.0	no_vs_tip_invariant_sparse_fixed		
0	17	0.352	0.0432	0.3513	0.0432	no_vs_tip_invariant_sparse_fixed		
0	18	0.626	0.0381	0.6281	0.0381	no_vs_tip_invariant_sparse_fixed		
0	19	0.0009	0.0	0.0009	0.0	no_vs_tip_invariant_sparse_fixed		
0	20	0.0001	0.0	0.0001	0.0	no_vs_tip_invariant_sparse_fixed		
0	21	0.0876	0.0002	0.0861	0.0002	no_vs_tip_invariant_sparse_fixed		
0	22	0.0	0.0	0.0	0.0	no_vs_tip_invariant_sparse_fixed		
0	23	0.0001	0.0	0.0001	0.0	no_vs_tip_invariant_sparse_fixed		
0	24	0.0	0.0	0.0	0.0	no_vs_tip_invariant_sparse_fixed		
0	25	0.0005	0.0003	0.0005	0.0003	no_vs_tip_invariant_sparse_fixed		
0	26	0.0395	0.0006	0.0391	0.0006	no_vs_tip_invariant_sparse_fixed		
0	27	0.0024	0.0	0.0025	0.0	no_vs_tip_invariant_sparse_fixed		
0	28	0.0	0.0	0.0	0.0	no_vs_tip_invariant_sparse_fixed		
0	29	0.0	0.0	0.0	0.0	no_vs_tip_invariant_sparse_fixed		
0	30	12.7163	0.9815	12.6886	0.9815	no_vs_tip_invariant_sparse_fixed		
0	31	0.6319	0.0011	0.6262	0.0011	no_vs_tip_invariant_sparse_fixed		
0	32	0.0007	0.0	0.0007	0.0	no_vs_tip_invariant_sparse_fixed		
0	33	0.7056	0.1966	0.7109	0.1966	no_vs_tip_invariant_sparse_fixed		
0	34	0.0573	0.0001	0.0566	0.0001	no_vs_tip_invariant_sparse_fixed		
0	35	0.1349	0.0008	0.1337	0.0008	no_vs_tip_invariant_sparse_fixed		
0	36	0.0034	0.0009	0.0035	0.0009	no_vs_tip_invariant_sparse_fixed		
0	37	3.1236	0.0477	3.1473	0.0477	no_vs_tip_invariant_sparse_fixed		
0	38	572.3179	0.9119	567.5528	0.9119	no_vs_tip_invariant_sparse_fixed		
0	39	1.0125	0.5314	1.0227	0.5314	no_vs_tip_invariant_sparse_fixed		
0	40	12.4587	0.2498	12.4104	0.2498	no_vs_tip_invariant_sparse_fixed		
0	41	0.0	0.0	0.0	0.0	no_vs_tip_invariant_sparse_fixed		
0	42	1.0293	0.0001	1.0233	0.0001	no_vs_tip_invariant_sparse_fixed		
0	43	602.3749	0.0001	601.8558	0.0001	no_vs_tip_invariant_sparse_fixed		
0	44	0.0014	0.0	0.0014	0.0	no_vs_tip_invariant_sparse_fixed		
0	45	0.0009	0.0001	0.0009	0.0001	no_vs_tip_invariant_sparse_fixed		
0	46	35.3838	0.9513	35.0605	0.9513	no_vs_tip_invariant_sparse_fixed		
0	47	0.0327	0.0001	0.0324	0.0001	no_vs_tip_invariant_sparse_fixed		
0	48	2.5604	0.0633	2.5366	0.0633	no_vs_tip_invariant_sparse_fixed		
0	49	2.5763	0.7658	2.5711	0.7658	no_vs_tip_invariant_sparse_fixed		
0	50	2.4379	0.246	2.4197	0.246	no_vs_tip_invariant_sparse_fixed		
0	51	0.3407	0.0495	0.3427	0.0495	no_vs_tip_invariant_sparse_fixed		
