mu_N	mu_S	rows	other_signal_fraction	other_signal_rows	focal_multiplier	method	replicates	rejections	rejection_rate	ci_low	ci_high	omega_ge5
8.0	0.5	1	0.0	0	1	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.617
8.0	0.5	1	0.0	0	1	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	0.5	1	0.0	0	1	Frozen empirical	1000	0	0.0	0.0	0.003682083896865671	0.617
8.0	0.5	1	0.0	0	1	Independent null	1000	40	0.04	0.0287276252858908	0.0540726968193685	0.0
8.0	0.5	1	0.0	0	4	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.619
8.0	0.5	1	0.0	0	4	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	0.5	1	0.0	0	4	Frozen empirical	1000	0	0.0	0.0	0.003682083896865671	0.619
8.0	0.5	1	0.0	0	4	Independent null	1000	799	0.799	0.772797404898815	0.8234286647711602	0.334
8.0	0.5	1	0.5	0	1	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.617
8.0	0.5	1	0.5	0	1	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	0.5	1	0.5	0	1	Frozen empirical	1000	0	0.0	0.0	0.003682083896865671	0.617
8.0	0.5	1	0.5	0	1	Independent null	1000	40	0.04	0.0287276252858908	0.0540726968193685	0.0
8.0	0.5	1	0.5	0	4	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.619
8.0	0.5	1	0.5	0	4	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	0.5	1	0.5	0	4	Frozen empirical	1000	0	0.0	0.0	0.003682083896865671	0.619
8.0	0.5	1	0.5	0	4	Independent null	1000	799	0.799	0.772797404898815	0.8234286647711602	0.334
8.0	0.5	1	1.0	0	1	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.617
8.0	0.5	1	1.0	0	1	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	0.5	1	1.0	0	1	Frozen empirical	1000	0	0.0	0.0	0.003682083896865671	0.617
8.0	0.5	1	1.0	0	1	Independent null	1000	40	0.04	0.0287276252858908	0.0540726968193685	0.0
8.0	0.5	1	1.0	0	4	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.619
8.0	0.5	1	1.0	0	4	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	0.5	1	1.0	0	4	Frozen empirical	1000	0	0.0	0.0	0.003682083896865671	0.619
8.0	0.5	1	1.0	0	4	Independent null	1000	799	0.799	0.772797404898815	0.8234286647711602	0.334
8.0	0.5	4	0.0	0	1	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.617
8.0	0.5	4	0.0	0	1	Legacy empirical	1000	52	0.052	0.03907653494398049	0.0676350140505073	0.0
8.0	0.5	4	0.0	0	1	Frozen empirical	1000	52	0.052	0.03907653494398049	0.0676350140505073	0.0
8.0	0.5	4	0.0	0	1	Independent null	1000	40	0.04	0.0287276252858908	0.0540726968193685	0.0
8.0	0.5	4	0.0	0	4	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.619
8.0	0.5	4	0.0	0	4	Legacy empirical	1000	785	0.785	0.7582168340894825	0.8100933481890851	0.145
8.0	0.5	4	0.0	0	4	Frozen empirical	1000	785	0.785	0.7582168340894825	0.8100933481890851	0.145
8.0	0.5	4	0.0	0	4	Independent null	1000	799	0.799	0.772797404898815	0.8234286647711602	0.334
8.0	0.5	4	0.5	2	1	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.617
8.0	0.5	4	0.5	2	1	Legacy empirical	1000	1	0.001	2.5317487491294045e-05	0.005558924279826672	0.0
8.0	0.5	4	0.5	2	1	Frozen empirical	1000	1	0.001	2.5317487491294045e-05	0.005558924279826672	0.0
8.0	0.5	4	0.5	2	1	Independent null	1000	40	0.04	0.0287276252858908	0.0540726968193685	0.0
8.0	0.5	4	0.5	2	4	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.619
8.0	0.5	4	0.5	2	4	Legacy empirical	1000	55	0.055	0.04169879507953597	0.07099151554205749	0.0
8.0	0.5	4	0.5	2	4	Frozen empirical	1000	55	0.055	0.04169879507953597	0.07099151554205749	0.0
8.0	0.5	4	0.5	2	4	Independent null	1000	799	0.799	0.772797404898815	0.8234286647711602	0.334
8.0	0.5	4	1.0	3	1	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.617
8.0	0.5	4	1.0	3	1	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	0.5	4	1.0	3	1	Frozen empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	0.5	4	1.0	3	1	Independent null	1000	40	0.04	0.0287276252858908	0.0540726968193685	0.0
8.0	0.5	4	1.0	3	4	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.619
8.0	0.5	4	1.0	3	4	Legacy empirical	1000	2	0.002	0.00024230111687723185	0.007205838911457497	0.0
8.0	0.5	4	1.0	3	4	Frozen empirical	1000	2	0.002	0.00024230111687723185	0.007205838911457497	0.0
8.0	0.5	4	1.0	3	4	Independent null	1000	799	0.799	0.772797404898815	0.8234286647711602	0.334
8.0	0.5	32	0.0	0	1	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.617
8.0	0.5	32	0.0	0	1	Legacy empirical	1000	46	0.046	0.0338714985476779	0.06088355271374263	0.0
8.0	0.5	32	0.0	0	1	Frozen empirical	1000	46	0.046	0.0338714985476779	0.06088355271374263	0.0
8.0	0.5	32	0.0	0	1	Independent null	1000	40	0.04	0.0287276252858908	0.0540726968193685	0.0
8.0	0.5	32	0.0	0	4	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.619
8.0	0.5	32	0.0	0	4	Legacy empirical	1000	811	0.811	0.7853322572510838	0.8348215135328766	0.267
8.0	0.5	32	0.0	0	4	Frozen empirical	1000	811	0.811	0.7853322572510838	0.8348215135328766	0.267
8.0	0.5	32	0.0	0	4	Independent null	1000	799	0.799	0.772797404898815	0.8234286647711602	0.334
8.0	0.5	32	0.5	16	1	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.617
8.0	0.5	32	0.5	16	1	Legacy empirical	1000	1	0.001	2.5317487491294045e-05	0.005558924279826672	0.0
8.0	0.5	32	0.5	16	1	Frozen empirical	1000	1	0.001	2.5317487491294045e-05	0.005558924279826672	0.0
8.0	0.5	32	0.5	16	1	Independent null	1000	40	0.04	0.0287276252858908	0.0540726968193685	0.0
8.0	0.5	32	0.5	16	4	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.619
8.0	0.5	32	0.5	16	4	Legacy empirical	1000	618	0.618	0.5870738501726673	0.6482291898918404	0.028
8.0	0.5	32	0.5	16	4	Frozen empirical	1000	618	0.618	0.5870738501726673	0.6482291898918404	0.028
8.0	0.5	32	0.5	16	4	Independent null	1000	799	0.799	0.772797404898815	0.8234286647711602	0.334
8.0	0.5	32	1.0	31	1	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.617
8.0	0.5	32	1.0	31	1	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	0.5	32	1.0	31	1	Frozen empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	0.5	32	1.0	31	1	Independent null	1000	40	0.04	0.0287276252858908	0.0540726968193685	0.0
8.0	0.5	32	1.0	31	4	Uncalibrated	1000	0	0.0	0.0	0.003682083896865671	0.619
8.0	0.5	32	1.0	31	4	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	0.5	32	1.0	31	4	Frozen empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	0.5	32	1.0	31	4	Independent null	1000	799	0.799	0.772797404898815	0.8234286647711602	0.334
8.0	8.0	1	0.0	0	1	Uncalibrated	1000	47	0.047	0.034735062266795964	0.062012630693305135	0.006
8.0	8.0	1	0.0	0	1	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	8.0	1	0.0	0	1	Frozen empirical	1000	47	0.047	0.034735062266795964	0.062012630693305135	0.006
8.0	8.0	1	0.0	0	1	Independent null	1000	43	0.043	0.0312911704560926	0.05748625796197233	0.004
8.0	8.0	1	0.0	0	4	Uncalibrated	1000	902	0.902	0.8818715455687639	0.9197224945489949	0.339
8.0	8.0	1	0.0	0	4	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	8.0	1	0.0	0	4	Frozen empirical	1000	902	0.902	0.8818715455687639	0.9197224945489949	0.339
8.0	8.0	1	0.0	0	4	Independent null	1000	905	0.905	0.8851151555955479	0.922459792918345	0.339
8.0	8.0	1	0.5	0	1	Uncalibrated	1000	47	0.047	0.034735062266795964	0.062012630693305135	0.006
