scenario,foregrounds,regime,filtered,paired_sensitivity_difference,normal95_low,normal95_high
sparse,2,heterogeneous,False,0.0,0.0,0.0
sparse,2,heterogeneous,True,0.0,0.0,0.0
sparse,2,moderate,False,0.0,0.0,0.0
sparse,2,moderate,True,0.0,0.0,0.0
sparse,4,heterogeneous,False,0.2533333333333333,0.2058743092446281,0.3007923574220385
sparse,4,heterogeneous,True,0.13333333333333333,0.0907791887777766,0.17588747788889006
sparse,4,moderate,False,0.12666666666666665,0.09096656653696839,0.16236676679636491
sparse,4,moderate,True,0.1,0.06588077943268322,0.1341192205673168
uncertain,2,heterogeneous,False,0.0,0.0,0.0
uncertain,2,heterogeneous,True,0.0,0.0,0.0
uncertain,2,moderate,False,0.0,0.0,0.0
uncertain,2,moderate,True,0.0,0.0,0.0
uncertain,4,heterogeneous,False,-0.003333333333333333,-0.014687435910917881,0.008020769244251214
uncertain,4,heterogeneous,True,0.0,-0.009286075645711031,0.009286075645711031
uncertain,4,moderate,False,0.0,0.0,0.0
uncertain,4,moderate,True,0.0,0.0,0.0
unequal,2,heterogeneous,False,0.0,0.0,0.0
unequal,2,heterogeneous,True,0.0,0.0,0.0
unequal,2,moderate,False,0.0,0.0,0.0
unequal,2,moderate,True,0.0,0.0,0.0
unequal,4,heterogeneous,False,0.0,0.0,0.0
unequal,4,heterogeneous,True,0.0,0.0,0.0
unequal,4,moderate,False,-0.01,-0.02454983155243609,0.004549831552436091
unequal,4,moderate,True,-0.01,-0.02454983155243609,0.004549831552436091
