scenario,foregrounds,regime,filtered,replicate,method,candidates,discoveries,false,false_any,fdp,signal,detected,endpoints,endpoint_detected,jumps,jump_detected
sparse,2,null,False,0,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,0,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,0,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,0,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,0,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,0,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,1,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,1,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,1,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,1,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,1,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,1,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,2,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,2,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,2,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,2,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,2,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,2,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,3,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,3,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,3,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,3,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,3,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,3,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,4,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,4,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,4,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,4,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,4,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,4,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,5,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,5,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,5,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,5,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,5,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,5,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,6,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,6,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,6,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,6,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,6,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,6,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,7,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,7,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,7,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,7,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,7,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,7,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,8,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,8,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,8,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,8,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,8,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,8,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,9,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,9,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,9,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,9,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,9,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,9,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,10,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,10,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,10,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,10,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,10,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,10,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,11,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,11,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,11,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,11,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,11,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,11,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,12,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,12,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,12,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,12,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,12,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,12,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,13,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,13,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,13,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,13,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,13,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,13,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,14,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,14,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,14,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,14,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,14,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,True,14,learned,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,15,poisson,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,15,fixed,0,0,0,0,0.0,0,0,0,0,0,0
sparse,2,null,False,15,learned,0,0,0,0,0.0,0,0,0,0,0,0
