alignment_site	num_tips_with_codon_state	tip_invariant_drop	zero_sub_mass_drop	tip_invariant_basis
1	8	False	False	codon
2	8	False	False	codon
3	8	False	False	codon
4	8	True	False	codon
5	8	False	False	codon
6	8	False	False	codon
7	8	False	False	codon
8	8	False	False	codon
9	8	False	False	codon
10	8	False	False	codon
11	8	False	False	codon
12	8	False	False	codon
13	8	False	False	codon
14	8	False	False	codon
15	8	False	False	codon
16	8	False	False	codon
17	8	False	False	codon
18	8	False	False	codon
19	8	False	False	codon
20	8	False	False	codon
21	8	False	False	codon
22	8	False	False	codon
23	8	False	False	codon
24	8	False	False	codon
25	8	False	False	codon
26	8	False	False	codon
27	8	False	False	codon
28	8	False	False	codon
29	8	False	False	codon
30	8	False	False	codon
31	8	False	False	codon
32	8	False	False	codon
33	8	False	False	codon
34	8	False	False	codon
35	8	False	False	codon
36	8	False	False	codon
37	8	False	False	codon
38	8	False	False	codon
39	8	False	False	codon
40	8	False	False	codon
41	8	False	False	codon
42	8	False	False	codon
43	8	False	False	codon
44	8	False	False	codon
45	8	False	False	codon
46	8	False	False	codon
47	8	False	False	codon
48	8	False	False	codon
49	8	False	False	codon
50	8	False	False	codon
51	8	False	False	codon
52	8	False	False	codon
53	8	False	False	codon
54	8	False	False	codon
55	8	False	False	codon
56	8	False	False	codon
57	8	False	False	codon
58	8	False	False	codon
59	8	False	False	codon
60	8	False	False	codon
61	8	False	False	codon
62	8	False	False	codon
63	8	False	False	codon
64	8	False	False	codon
65	8	False	False	codon
66	8	False	False	codon
67	8	False	False	codon
68	8	False	False	codon
69	8	False	False	codon
70	8	False	False	codon
71	8	False	False	codon
72	8	False	False	codon
73	8	False	False	codon
74	8	False	False	codon
75	8	False	False	codon
76	8	False	False	codon
77	8	False	False	codon
78	8	False	False	codon
79	8	False	False	codon
80	8	False	False	codon
81	8	False	False	codon
82	8	False	False	codon
83	8	False	False	codon
84	8	False	False	codon
85	8	False	False	codon
86	8	False	False	codon
87	8	True	False	codon
88	8	False	False	codon
89	8	False	False	codon
90	8	False	False	codon
91	8	False	False	codon
92	8	False	False	codon
93	8	False	False	codon
94	8	True	False	codon
95	8	False	False	codon
96	8	False	False	codon
97	8	False	False	codon
98	8	False	False	codon
99	8	False	False	codon
100	8	False	False	codon
