alignment_site	num_tips_with_codon_state	tip_invariant_drop	zero_sub_mass_drop	tip_invariant_basis
1	2	False	False	codon
2	2	False	False	codon
3	2	False	False	codon
4	2	True	False	codon
5	2	False	False	codon
6	2	False	False	codon
7	2	False	False	codon
8	2	False	False	codon
9	2	False	False	codon
10	2	False	False	codon
11	2	False	False	codon
12	2	False	False	codon
13	2	False	False	codon
14	2	False	False	codon
15	2	False	False	codon
16	2	False	False	codon
17	2	False	False	codon
18	2	False	False	codon
19	2	False	False	codon
20	2	False	False	codon
21	2	False	False	codon
22	2	False	False	codon
23	2	False	False	codon
24	2	False	False	codon
25	2	False	False	codon
26	2	False	False	codon
27	2	False	False	codon
28	2	False	False	codon
29	2	False	False	codon
30	2	False	False	codon
31	2	False	False	codon
32	2	False	False	codon
33	2	False	False	codon
34	2	False	False	codon
35	2	False	False	codon
36	2	False	False	codon
37	2	False	False	codon
38	2	False	False	codon
39	2	False	False	codon
40	2	False	False	codon
41	2	False	False	codon
42	2	False	False	codon
43	2	False	False	codon
44	2	False	False	codon
45	2	False	False	codon
46	2	False	False	codon
47	2	False	False	codon
48	2	False	False	codon
49	2	False	False	codon
50	2	False	False	codon
51	2	False	False	codon
52	2	False	False	codon
53	2	False	False	codon
54	2	False	False	codon
55	2	False	False	codon
56	2	False	False	codon
57	2	False	False	codon
58	2	False	False	codon
59	2	False	False	codon
60	2	False	False	codon
61	2	False	False	codon
62	2	False	False	codon
63	2	False	False	codon
64	2	False	False	codon
65	2	False	False	codon
66	2	False	False	codon
67	2	False	False	codon
68	2	False	False	codon
69	2	False	False	codon
70	2	False	False	codon
71	2	False	False	codon
72	2	False	False	codon
73	2	False	False	codon
74	2	False	False	codon
75	2	False	False	codon
76	2	False	False	codon
77	2	False	False	codon
78	2	False	False	codon
79	2	False	False	codon
80	2	False	False	codon
81	2	False	False	codon
82	2	False	False	codon
83	2	False	False	codon
84	2	False	False	codon
85	2	False	False	codon
86	2	False	False	codon
87	2	True	False	codon
88	2	False	False	codon
89	2	False	False	codon
90	2	False	False	codon
91	2	False	False	codon
92	2	False	False	codon
93	2	False	False	codon
94	2	True	False	codon
95	2	False	False	codon
96	2	False	False	codon
97	2	False	False	codon
98	2	False	False	codon
99	2	False	False	codon
100	2	False	False	codon
